gstin,vendor_name,invoice_number,invoice_date,invoice_value,gst_rate,taxable_value,igst,cgst,sgst,purchase_ledger,name_as_per_tally
07AAACB0446L1ZU,,2025B07R00000336,30/11/2025,381.44,18,323.25,58.19,0.00,0.00,,
08AAACB0446L1ZS,,2025B08R00000093,30/11/2025,1144.31,18,969.75,174.56,0.00,0.00,,
18AAACB0446L1ZR,,2025B18R00000559,30/11/2025,406.26,18,344.29,61.97,0.00,0.00,,
19AAACB0446L1ZP,,2025B19R00001446,30/11/2025,381.44,18,323.25,58.19,0.00,0.00,,
20AAACB0446L1Z6,,2025B20R00000136,30/11/2025,384.16,18,325.56,58.60,0.00,0.00,,
21AAACB0446L1Z4,,2025B21R00000214,30/11/2025,381.44,18,323.25,58.19,0.00,0.00,,
23AAACB0446L1Z0,,2025B23R00000081,30/11/2025,381.44,18,323.25,58.19,0.00,0.00,,
27AAACB0446L1ZS,,2025B27R00007250,30/11/2025,832.03,18,705.11,126.92,0.00,0.00,,
29AAACB0446L1ZO,,2025B29R00000371,30/11/2025,2407.45,18,2040.21,367.24,0.00,0.00,,
32AAACB0446L1Z1,,2025B32R00000731,30/11/2025,563405.13,18,477461.97,0.00,42971.58,42971.58,,
32AAACB0446L1Z1,,2025B32R00000732,30/11/2025,514557.09,18,436065.33,0.00,39245.88,39245.88,,
33AAACB0446L1ZZ,,2025B33R00002073,30/11/2025,4604.70,18,3902.29,702.41,0.00,0.00,,
36AAACB0446L1ZT,,2025B36R00000745,30/11/2025,1525.74,18,1293.00,232.74,0.00,0.00,,
37AAACB0446L1ZR,,2025B37R00000215,30/11/2025,762.87,18,646.50,116.37,0.00,0.00,,
10AAACB0446L1Z7,,2025C10R00001053,31/12/2025,381.44,18,323.25,58.19,0.00,0.00,,
19AAACB0446L1ZP,,2025C19R00003615,31/12/2025,762.87,18,646.50,116.37,0.00,0.00,,
21AAACB0446L1Z4,,2025C21R00000894,31/12/2025,381.44,18,323.25,58.19,0.00,0.00,,
23AAACB0446L1Z0,,2025C23R00001635,31/12/2025,381.44,18,323.25,58.19,0.00,0.00,,
24AAACB0446L1ZY,,2025C24R00003706,31/12/2025,1907.18,18,1616.25,290.93,0.00,0.00,,
27AAACB0446L1ZS,,2025C27R00007857,31/12/2025,5235.29,18,4436.69,798.60,0.00,0.00,,
29AAACB0446L1ZO,,2025C29R00003774,31/12/2025,1743.93,18,1477.91,266.02,0.00,0.00,,
30AAACB0446L1Z5,,2025C30R00000068,31/12/2025,381.44,18,323.25,58.19,0.00,0.00,,
32AAACB0446L1Z1,,2025C32R00001170,31/12/2025,533371.85,18,452010.05,0.00,40680.90,40680.90,,
32AAACB0446L1Z1,,2025C32R00001171,31/12/2025,652317.06,18,552811.06,0.00,49753.00,49753.00,,
32AAACB0446L1Z1,,2025C32R00001172,31/12/2025,909412.41,18,770688.49,0.00,69361.96,69361.96,,
32AAACB0446L1Z1,,2025C32R00001173,31/12/2025,546625.30,18,463241.78,0.00,41691.76,41691.76,,
32AAACB0446L1Z1,,2025C32R00001174,31/12/2025,30063.65,18,25477.67,0.00,2292.99,2292.99,,
33AAACB0446L1ZZ,,2025C33R00005664,31/12/2025,15753.94,18,13350.80,2403.14,0.00,0.00,,
36AAACB0446L1ZT,,2025C36R00000897,31/12/2025,4715.54,18,3996.22,719.32,0.00,0.00,,
37AAACB0446L1ZR,,2025C37R00000926,31/12/2025,3473.68,18,2943.80,529.88,0.00,0.00,,
23AAACB0446L1Z0,,2026123R00001100,31/01/2026,375.76,18,318.44,57.32,0.00,0.00,,
32AAACB0446L1Z1,,2026132R00000423,31/01/2026,9807.13,18,8311.13,0.00,748.00,748.00,,
27AAACB0446L1ZS,,2026227R00018985,28/02/2026,206.44,18,174.95,31.49,0.00,0.00,,
29AAACB0446L1ZO,,2026229R00006243,28/02/2026,112.24,18,95.12,17.12,0.00,0.00,,
32AAACB0446L1Z1,,2026232R00001316,28/02/2026,142642.19,18,120883.21,0.00,10879.49,10879.49,,
32AAACB0446L1Z1,,2026232R00001317,28/02/2026,117192.25,18,99315.47,0.00,8938.39,8938.39,,
32AAACB0446L1Z1,,2025632R00001006,30/06/2025,554114.26,18,469588.36,0.00,42262.95,42262.95,,
32AAACB0446L1Z1,,2025632R00001007,30/06/2025,522218.31,18,442557.89,0.00,39830.21,39830.21,,
32AAACB0446L1Z1,,2025932R00001045,30/09/2025,33960.35,18,28779.95,0.00,2590.20,2590.20,,
09AAACB0446L1ZQ,,2025B09R00000209,30/11/2025,381.44,18,323.25,58.19,0.00,0.00,,
27AAACB0446L1ZS,,2025B27R00007253,30/11/2025,2555.24,18,2165.46,389.78,0.00,0.00,,
32AAACB0446L1Z1,,2025B32R00000882,30/11/2025,601.36,18,509.62,0.00,45.87,45.87,,
32AAACB0446L1Z1,,2025B32R00000883,30/11/2025,3866.10,18,3276.36,0.00,294.87,294.87,,
09AAACB0446L1ZQ,,2025C09R00001413,31/12/2025,832.03,18,705.11,126.92,0.00,0.00,,
09AAACB0446L1ZQ,,2026109R00001078,31/01/2026,375.76,18,318.44,57.32,0.00,0.00,,
24EUCPS5703N1Z9,Blue Horse International,VJZR-7151,26.09.2025,2130.00,,,,,,,
24EUCPS5703N1Z9,Blue Horse International,VJZR-7151,26.09.2025,2130.00,5,2028.57,101.43,0.00,0.00,,
29ACSPN4491Q1ZC,,Dated,,6300.00,,,,,,,
32DHBPS0261Q1Z4,,CIT/016/2025-2026,03/06/2025,105610.00,,,,,,,
32DHBPS0261Q1Z4,,CIT/017/2025-2026,04/06/2025,157058.00,,,,,,,
32DHBPS0261Q1Z4,,CIT/027/2025-2026,23/06/2025,22420.00,,,,,,,
32AMYPG0433H1Z6,,KPM0090,18/06/2025,15750.00,,15000.00,,,,,
32AMYPG0433H1Z6,,KPM0096,05/07/2025,23625.00,,22500.00,,,,,
32AMYPG0433H1Z6,,KPM0079,26/05/2025,23625.00,,22500.00,,,,,
32AMYPG0433H1Z6,,KPM0117,11/09/2025,19950.00,,19000.00,,,,,
32AMYPG0433H1Z6,,KPM0131,29/10/2025,29400.00,,28000.00,,,,,
32AALCC5039R1Z6,,INV-002579,09/01/2026,6483.76,,,,,,,
24AANPR8451M1ZZ,CHERIAN ENTERPRISES,AMD2-1171,05.05.2025,3830.40,18,3246.10,584.30,0.00,0.00,,
24AANPR8451M1ZZ,CHERIAN ENTERPRISES,AMD2-3862,12.08.2025,4434.49,18,3758.04,676.45,0.00,0.00,,
29AANPR8451M1ZP,CHERIAN ENTERPRISES,BLR7-10525,14.01.2026,4301.45,18,3645.29,656.16,0.00,0.00,,
29ADCPT8466G1ZY,SP Infotech,BLR7-8177,14.01.2026,4301.46,18,4913.94,884.52,0.00,0.00,,
29AANPR8451M1ZP,CHERIAN ENTERPRISES,BLR8-14563,01.12.2025,4301.45,18,3645.29,656.16,0.00,0.00,,
29AANPR8451M1ZP,CHERIAN ENTERPRISES,BLR8-390,07.04.2025,4214.16,18,3571.32,642.84,0.00,0.00,,
29AANPR8451M1ZP,CHERIAN ENTERPRISES,BLR8-391,07.04.2025,4214.16,18,3571.32,642.84,0.00,0.00,,
29AANPR8451M1ZP,CHERIAN ENTERPRISES,BLR8-6425,18.07.2025,4246.00,18,3598.31,647.69,0.00,0.00,,
27AANPR8451M1ZT,CHERIAN ENTERPRISES,BOM5-13884,23.01.2026,4301.45,18,3645.29,656.16,0.00,0.00,,
27AANPR8451M1ZT,CHERIAN ENTERPRISES,BOM5-5782,12.08.2025,4434.49,18,3758.04,676.45,0.00,0.00,,
27AANPR8451M1ZT,CHERIAN ENTERPRISES,BOM7-8226,13.12.2025,4301.45,18,3645.29,656.16,0.00,0.00,,
19AANPR8451M1ZQ,CHERIAN ENTERPRISES,CCX1-1638,19.05.2025,3983.27,18,3375.65,607.62,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,CJB1-10077,23.01.2026,4301.46,18,3645.30,656.16,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,CJB1-2466,24.06.2025,4033.70,18,3418.39,615.31,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,CJB1-3280,18.07.2025,4246.00,18,3598.31,647.69,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,CJB1-8340,01.12.2025,4301.46,18,3645.30,656.16,0.00,0.00,,
06AANPR8451M1ZX,CHERIAN ENTERPRISES,DED4-3178,25.08.2025,4434.49,18,3758.04,676.45,0.00,0.00,,
06AANPR8451M1ZX,CHERIAN ENTERPRISES,DED4-3179,25.08.2025,4434.49,18,3758.04,676.45,0.00,0.00,,
18AANPR8451M1ZS,CHERIAN ENTERPRISES,GAX1-506,19.05.2025,3983.27,18,3375.65,607.62,0.00,0.00,,
18AANPR8451M1ZS,CHERIAN ENTERPRISES,GAX1-507,19.05.2025,3983.27,18,3375.65,607.62,0.00,0.00,,
36AANPR8451M1ZU,CHERIAN ENTERPRISES,HYD8-1937,24.06.2025,4033.70,18,3418.39,615.31,0.00,0.00,,
36AANPR8451M1ZU,CHERIAN ENTERPRISES,HYD8-441,19.04.2025,4003.45,18,3392.75,610.70,0.00,0.00,,
36AANPR8451M1ZU,CHERIAN ENTERPRISES,HYD8-442,19.04.2025,4003.45,18,3392.75,610.70,0.00,0.00,,
09AANPR8451M1ZR,CHERIAN ENTERPRISES,LKO1-1270,05.05.2025,3830.40,18,3246.10,584.30,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,MAA4-7121,08.11.2025,4301.45,18,3645.29,656.16,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,MAA4-7123,08.11.2025,4301.46,18,3645.30,656.16,0.00,0.00,,
33AANPR8451M1Z0,CHERIAN ENTERPRISES,MAA4-8550,13.12.2025,4301.46,18,3645.30,656.16,0.00,0.00,,
27AANPR8451M1ZT,CHERIAN ENTERPRISES,TWCX-1454,19.05.2025,7966.56,18,6751.32,1215.24,0.00,0.00,,
27AANPR8451M1ZT,CHERIAN ENTERPRISES,TWCX-5755,06.10.2025,8602.91,18,7290.59,1312.32,0.00,0.00,,
27AADCV6807E1ZB,,260108133512387,08-01-2026,,,,,,,,
24AAJCC9783E1ZD,CLICKTECH RETAIL PRIVATE LIMITED,AMD2-1128454,05.07.2025,9808.08,18,8311.92,1496.16,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR7-1327437,24.06.2025,9698.00,18,8218.64,1479.36,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR8-1197796,14.06.2025,1596.00,18,1352.56,243.44,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR8-1197808,14.06.2025,7695.96,18,6522.00,1173.96,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR8-411585,28.04.2025,3799.00,18,3219.49,579.51,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR8-630954,09.05.2025,86970.00,18,73703.40,13266.60,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR8-631083,09.05.2025,28990.00,18,24567.80,4422.20,0.00,0.00,,
29AAJCC9783E1Z3,CLICKTECH RETAIL PRIVATE LIMITED,BLR8-631155,09.05.2025,3290.00,18,2788.10,501.90,0.00,0.00,,
29BBTPR7956K1ZC,KVS ENTERPRISES,BLR8-712,16.06.2025,7695.96,18,9462.00,1703.16,0.00,0.00,,
33AAJCC9783E1ZE,CLICKTECH RETAIL PRIVATE LIMITED,CJB1-2405441,26.09.2025,3479.00,18,2948.29,530.71,0.00,0.00,,
33AAJCC9783E1ZE,CLICKTECH RETAIL PRIVATE LIMITED,CJB1-720646,04.06.2025,1578.00,18,1337.29,240.71,0.00,0.00,,
32AAJCC8517E1ZU,COCOBLU RETAIL LIMITED,COX1-590823,23.01.2026,2990.00,9,2728.14,0.00,245.58,0.00,,
36AAECR8516M1ZW,Radiant Consumer Appliances Pvt Ltd,HYD3-742,11.07.2025,4170.00,18,5800.85,1044.14,0.00,0.00,,
33AAJCC9783E1ZE,CLICKTECH RETAIL PRIVATE LIMITED,SCJF-94275,19.12.2025,16999.00,18,14405.93,2593.07,0.00,0.00,,
29AAJCC8517E1ZH,COCOBLU RETAIL LIMITED,BLR7-3852186,12.09.2025,2385.00,18,2021.19,363.81,0.00,0.00,,
33AAJCC8517E1ZS,COCOBLU RETAIL LIMITED,CJB1-2289582,12.09.2025,2385.00,18,2021.19,363.81,0.00,0.00,,
32AAJCC8517E1ZU,COCOBLU RETAIL LIMITED,COX1-590823,23.01.2026,2990.00,9,2728.14,0.00,245.58,0.00,,
29AAECC6213A1Z5,,Dated,,27000.00,,,,,,,
33AAECC6213A2ZF,,Dated,,27000.00,,,,,,,
33AAECC6213A2ZF,,Dated,,630.00,,,,,,,
36AAECC6213A1ZA,,Dated,,27000.00,,,,,,,
08AAECC6213A1Z9,,Dated,,16875.00,,,,,,,
06AACCC3432F1Z6,,Dated,,4050.00,,,,,,,
32AASCM2174Q1ZT,,2521300558,22-12-2025,71980.00,,71980.00,,,,,
29AAJCC4019M1ZB,,2591001892,23-12-2025,71980.00,,71980.00,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/001,,174195.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/002,,500535.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/003,,9497.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/004,,66481.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/006,,208236.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/008,,186690.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/009,,530670.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/010,,14774.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/011,,607320.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/012,,141230.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/013,,312948.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/014,,610050.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/015,,156923.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/016,,305326.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/017,,407327.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/24-25/018,,434003.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/001,,764306.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/002,,439236.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/003,,403133.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/003,,403133.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/004,,359386.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/005,,414398.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/006,,503291.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/007,,194597.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/008,,60501.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/009,,205538.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/011,,370387.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/012,,399583.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/013,,264915.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/014,,336798.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/015,,306374.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/017,,83160.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/018,,74219.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/019,,403940.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/020,,454010.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/023,,683298.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/024,,636253.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/025,,312774.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/026,,262175.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/027,,562716.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/028,,501113.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/029,,505890.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/032,,252221.00,,,,,,,
33DZZPP8843P1ZY,,CI-MDS/25-26/033,,548126.00,,,,,,,
29AECPT9561P1ZF,,Dated,,329844.42,,,,,,,
29AECPT9561P1ZF,,Dated,,340394.58,,,,,,,
29AAACD8017H1ZO,,KA2926TS036676,31.10.2025,10.60,18,24676.85,4441.83,0.00,0.00,,
29AAACD8017H1ZO,,KA2926TS046542,31.12.2025,106.00,18,34613.36,6230.40,0.00,0.00,,
29AAACD8017H1ZO,,KA2926TS050914,31.01.2026,65.00,18,19034.31,3426.18,0.00,0.00,,
29AAACD8017H1ZO,,KA2926TS056847,28.02.2026,10.60,18,3157.20,568.30,0.00,0.00,,
32AAACD8017H1Z1,,KL3226TS028872,31.10.2025,65.00,18,65964.97,0.00,5936.85,5936.85,,
32AAACD8017H1Z1,,KL3226TS032603,30.11.2025,9.80,18,5133.39,0.00,462.01,462.01,,
32AAACD8017H1Z1,,KL3226TS036823,31.12.2025,47.00,18,46381.93,0.00,4174.37,4174.37,,
32AAACD8017H1Z1,,KL3226TS040487,31.01.2026,65.00,18,42076.21,0.00,3786.86,3786.86,,
32AAACD8017H1Z1,,KL3226TS045154,28.02.2026,10.60,18,12509.46,0.00,1125.85,1125.85,,
33AAHCD4922E1Z0,,DVS/T/2526/036,11/07/2025,118000.00,,,,,,,
