ledger_name,source,raw_values
Dues and Subscriptions,TB April 25 March 26.xlsx,Dues and Subscriptions | 1260945.83 | 12684 | 1248261.83
Entry Fee for Music Awards,TB April 25 March 26.xlsx,Entry Fee for Music Awards | 9600 | 9600
Housekeeping Charges,TB April 25 March 26.xlsx,Housekeeping Charges | 516336 | 45000 | 471336
Insurance Expense,TB April 25 March 26.xlsx,Insurance Expense | 544244.44 | 544244.44
MCA Charges,TB April 25 March 26.xlsx,MCA Charges | 2024.78 | 2024.78
Office Maintanance,TB April 25 March 26.xlsx,Office Maintanance | 804517.15 | 18500 | 786017.15
Rates and Taxes,TB April 25 March 26.xlsx,Rates and Taxes | 895170.41 | 4499.9 | 890670.51
Rent Expense,TB April 25 March 26.xlsx,Rent Expense | 1056525 | 1056525
round off,TB April 25 March 26.xlsx,round off | 53.67 | 40.97 | 12.7
SaPa Events & Recitals,TB April 25 March 26.xlsx,SaPa Events & Recitals | 61404 | 61404
Sundry Expense,TB April 25 March 26.xlsx,Sundry Expense | 14593 | 14593
Teachers and Consultants:Consultants- Non-teachers,TB April 25 March 26.xlsx,Teachers and Consultants:Consultants- Non-teachers | 1191250 | 1191250
Training Expense,TB April 25 March 26.xlsx,Training Expense | 97048 | 97048
Travel Expense,TB April 25 March 26.xlsx,Travel Expense | 1382182.69 | 175804.26 | 1206378.43
Non Current Liablities,TB April 25 March 26.xlsx,Non Current Liablities | 1488320 | 10736 | 1499056
Provision for Gratuity-Long Term,TB April 25 March 26.xlsx,Provision for Gratuity-Long Term | 1488320 | 10736 | 1499056
Profit & Loss A/c,TB April 25 March 26.xlsx,Profit & Loss A/c | 9919694.29 | 9919694.29
Grand Total,TB April 25 March 26.xlsx,Grand Total | 528464563.55 | 528464563.55
Manufacturing vendor,purchase_ledger_values,Manufacturing vendor
